CODIGOINT;ltMix;EAN;CODIGOUNI;DESCRICAO
7707249;S;7891150055704;UN;SHAMPOO CLEAR FLOR DE CEREJEIRA 200ML
7707253;S;7899767440111;UN;BRINQ KIDIVERTIDO REF 499
7707259;S;7899767440234;UN;BRINQ KIDIVERTIDO REF 1699
7707263;S;7899767440289;UN;BRINQ KIDIVERTIDO REF 2499
7707271;S;7896756804671;UN;VINHO MIOLO CAMP GAU CHENIN BLA/MO 750ML
7707275;S;7891150060272;UN;SABONETE LUX SUAVE FLOR DE VERBENA 125GR
7707300;S;7891150061385;UN;CONJ TRESEME SH COND TRESPLEX 600ML
7707307;S;7891024035504;UN;SABONETE PROTEX AVEIA C/6 85G
7707311;S;7891150050594;UN;CONJ SEDA SH COND HID ANTI NOS 325ML
7707314;S;7622210961969;UN;CHOCOLATE LACTA AMARO COCO CR 90GR
7707318;S;7622210866790;UN;CHOCOLATE LACTA CRIACOES COCO/CARAM 100G
7707319;S;7622210869050;UN;CHOCOLATE LACTA CRIACOES GELEIA/MOR 100G
7707328;S;7899706152204;UN;CREME TRAT ELSEVE OLEO EXT CACHOS 300GR
7707329;S;7899706152105;UN;SHAMPOO ELSEVE OLEO EXTRAORD CACH 200ML
7707330;S;7899706152129;UN;CONDICIONADOR ELSEVE EXTRAO CACHOS 200ML
7707332;S;8412598000478;UN;CERVEJA ESTRELLA GALICIA 0 ALCOOL LT310M
7707334;S;7898953990065;UN;CERVEJA ESTRELLA GALICIA LATA 350ML
7707341;S;7899767440180;UN;BRINQ KIDIVERTIDO REF 1199
7707354;S;7891025114697;UN;IOG DANONE ACTIVIA AMEIXA 600G
7707357;S;7891025114673;UN;IOG DANONE ACTIVIA SHOT TRADICIONAL 100G
7707361;S;7891025114406;UN;IOG DANONE CORPUS S/LACTOSE MORANGO 170G
7707381;S;7890541035820;UN;SAND HAVAIANA COLOR MANDALA RSA/BAT 35/6
7707385;S;7891224346837;UN;SAND HAVAIANA CASUAL ACO/MAR 37/38
